Link,Title,Loc,Sal,Summary
https://kr.indeed.com/viewjob?jk=13513ddad0382808,빅데이터 분석,Success Korea 서울 삼성동,빅데이터 분석,,"및 분석 경험 - 프로그래밍 언어 중 2가지 이상 능숙하게 사용(R, Scala, Python, Java) - 컴퓨터 사이언스 또는 통계 관련 박사학... 중 2가지 이상 능숙하게 사용(R, Scala, Python, Java..."
https://kr.indeed.com/viewjob?jk=73457e281df2be21,데이터인프라개발팀 - 데이터 플랫폼 엔지니어,Nexon 성남 분당구,데이터인프라개발팀 - 데이터 플랫폼 엔지니어,,"해보신 분 - 클라우드 환경에서 분산 시스템을 개발 및 운영해보신분 - C++ / C# / JAVA / Scala / Python 언어 중 한가지 이상의 언어를 능숙히 사용하시는 분 - 자료구조, 알고리즘, 데이터베이스..."
https://kr.indeed.com/viewjob?jk=248f25cc0416aa37,Java Backend Software Engineer,하이퍼커넥트 서울,Java Backend Software Engineer,,"의사소통이 가능한 분 우대사항 Netty, Akka 등 비동기 네트워크 프레임워크 사용 경험이 있으신 분 Scala, Kotlin, Rust, Go 등의 고성능 정적 타입 언어 사용 경험이 있으신 분 Cassandra..."
https://kr.indeed.com/viewjob?jk=0b06569e20a009f7,[수시] ZUM 데이터 엔지니어 (경력),zum 서울 서초구,[수시] ZUM 데이터 엔지니어 (경력),,"터분석에 기반한 의사결정 및 협업부서 업무 지원 *자격조건... 경력 : 2년 ~ 6년 - Java, Scala, Python, Shell 등에 대해 능숙하게 다룰 수 있는 언어 2개 이상 보유자 - 데이터베이스에..."
https://kr.indeed.com/viewjob?jk=67510bc4b3e01817,블루키 라붐아울렛 동백(용인)점 베이직하우스 점장 모집,용인 기흥구,블루키 라붐아울렛 동백(용인)점 베이직하우스 점장 모집,,"슈퍼피쳐링 슈페르가,SUPERGA 스와로브스키,Swarovski 스위트숲,SweetSOUP 스칼라, scala 스코노,skonokorea 스콜피오,scorpio 스킬스,SKLZ 스타런 스타카토,STACCATO 스텔라매카트니..."
https://kr.indeed.com/viewjob?jk=c62d380a1585df66,데이터 엔지니어 (3년 이상),우아한 형제들 서울 송파구,데이터 엔지니어 (3년 이상),,지원자격] - Hadoop/Spark 기반의 빅데이터 인프라 구축 및 ETL 개발 경험(3년 이상) - Scala/Java/Python 중 1개 이상의 언어 숙련자 - SQL 숙련자(MySQL/SparkSQL) - 1개 이상...
https://kr.indeed.com/viewjob?jk=93fb20ec396f2ec9,[S/W] Backend Engineer for Mobility,현대자동차그룹 4.4 대한민국,[S/W] Backend Engineer for Mobility,,"템에 대한 이해를 보유한 자 - Backend 개발에 대한 전문성 보유자 (Go, Java, Kotlin, Scala 등) 우대사항 - 대규모 서비스 서버 개발 및 운영 경험자 - Kafka, Redis, RDB, NoSQL..."
https://kr.indeed.com/viewjob?jk=85687b250386c4be,qe 소프트웨어 엔지니어,에이치알 코리아 대한민국,qe 소프트웨어 엔지니어,,"Ability to code competently in C++, C#, Javascript, Java or Scala • Familiarity with mobile/web game development and load..."
https://kr.indeed.com/viewjob?jk=a7ad2455872da832,[카카오스토리] 개발자 (서버/iOS/Android),카카오 4.2 대한민국,[카카오스토리] 개발자 (서버/iOS/Android),,"경험 ✔︎ 데이터엔지니어링 업무내용 Spark를 이용한 카카오스토리 데이터 분석 및 실시간 처리 지원자격 Scala 또는 Java 개발 경험 2년 이상 Hadoop, Spark 기반 데이터 엔지니어링 경험 데이터베이스..."
https://kr.indeed.com/viewjob?jk=f59ae6a493eec795,"[R0001563] Principal, Back-end Engineer...",Coupang 3.1 서울,"[R0001563] Principal, Back-end Engineer...",,"Computer Science Fundamentals 이수 Java, C++, C, Python, Scala 등 현대 프로그래밍 언어 중 최소 한 가지 이상을 능숙하게 활용할 수 있음 (본사에서는 주로 Java를 사용함..."
https://kr.indeed.com/viewjob?jk=b50401f3fe70ade9,[수시] ZUM 빅데이터 분석 플랫폼 개발 및 운영(신입),ZUM 서울 서초구,[수시] ZUM 빅데이터 분석 플랫폼 개발 및 운영(신입),,"스템 구축 및 운영 - 객관적 데이터분석에 기반한 의사결정 및 협업부서 업무 지원 *자격조건... Scala, Java, Shell 등에 대해 능숙하게 다룰 수 있는 언어가 하나 이상 - 자료구조, 알고리즘, 운영..."
https://kr.indeed.com/viewjob?jk=fb21ea899c7580fe,[S/W] Speech Recognition & Synthesis Eng...,현대자동차그룹 4.4 대한민국,[S/W] Speech Recognition & Synthesis Eng...,,보유하신 분 - 독창적인 기술 제시 및 문제 해결을 위한 프로그래밍 능력을 보유하신 분 (Python/Java/ Scala 등) - 오픈소스 기반 딥 러닝 프레임워크 활용 능력을 보유하신 분 (TensorFlow/Keras...
https://kr.indeed.com/viewjob?jk=8ae7c240ef7d5f0b,카카오 분석 플랫폼 경력 개발자,카카오 4.2 성남 판교역,카카오 분석 플랫폼 경력 개발자,,"대용량 데이터에 대한 실시간/배치 서비스 개발 운영 경험이 있으신 분 개발 경력 1년 이상 python, scala, druid, hadoop 등 다양한 환경에 적응 가능한 분 어떤 일이라도 중요하게 여기며 책임감 있게 진행..."
https://kr.indeed.com/viewjob?jk=7a08f5e589b10a00,"Senior, Software Engineer (Search Qualit...",Coupang 3.1 서울,"Senior, Software Engineer (Search Qualit...",,"알고리즘, 시스템 설계, 분산환경에서 3년 이상의 실무 경험 Java, Scala, Python 등의 객체 지향 언어에서 3년 이상의 실무 경험... language, Java, Scala, Python Data..."
https://kr.indeed.com/viewjob?jk=72df4d9b3d1399af,대기업(연구소) AI 플랫폼연구 석사이상,금융대기업(연구센터) 서울 강남구,대기업(연구소) AI 플랫폼연구 석사이상,,"process 에 대한 이해 및 경험 - 기계학습 알고리즘 구현 또는 활용 경험 - R/python/ scala/java/javascript/typescript 중급 이상(택1) - Hadoop, spark 에 대한 이해..."
https://kr.indeed.com/viewjob?jk=ff2f8c996186ab4d,Cloud Application Architect - Profession...,Amazon Web Services Korea LLC 서울,Cloud Application Architect - Profession...,,"Ruby, .NET, Go, Scala 중 하나 이상의 프로그래밍 현장... Python, Java, Node.js, Ruby, .NET or Scala · Agile software development expert..."
https://kr.indeed.com/viewjob?jk=a6df161cf8e96140,게임 딥러닝 AI 개발,Success Korea 성남 분당구,게임 딥러닝 AI 개발,,로그 전처리 및 데이터 시각화 경험 -Spark / Hadoop / Scala / Zepplin 등 분산처리 시스템 개발 경험 -CUDA 기반 GPU... Spark / Hadoop / Scala / Zepplin 등 분산처리...
https://kr.indeed.com/viewjob?jk=a7433a3680e28581,NC백화점 동수원점 베이직하우스 점장 모집,수원 팔달구,NC백화점 동수원점 베이직하우스 점장 모집,,"슈퍼피쳐링 슈페르가,SUPERGA 스와로브스키,Swarovski 스위트숲,SweetSOUP 스칼라, scala 스코노,skonokorea 스콜피오,scorpio 스킬스,SKLZ 스타런 스타카토,STACCATO 스텔라매카트니..."
https://kr.indeed.com/viewjob?jk=1b64564d3e3a497c,Backend,리테일-테크회사 서울 강남구,Backend,,"료구조, 알고리즘 등 CS에 대한 이해 - MVC 프레임워크를 이용한 웹 애플리케이션 개발 경험 - Java, Scala, Javascript es6+ 등 하나 이상의 객체 지향 언어 사용 경험 - RESTful API 서버..."
https://kr.indeed.com/viewjob?jk=1757ffa0ee8637e5,울산 베이직하우스 상설 호계점 중간관리자 모집,울산 북구,울산 베이직하우스 상설 호계점 중간관리자 모집,,"슈퍼피쳐링 슈페르가,SUPERGA 스와로브스키,Swarovski 스위트숲,SweetSOUP 스칼라, scala 스코노,skonokorea 스콜피오,scorpio 스킬스,SKLZ 스타런 스타카토,STACCATO 스텔라매카트니..."
https://kr.indeed.com/viewjob?jk=f79f6cd3e91fcc1a,"Principal, Data Engineer (EDW Data Proce...",Coupang 3.1 서울,"Principal, Data Engineer (EDW Data Proce...",,"을 포함하여 빅 데이터 플랫폼 개발 경험 Python, Java 혹은 Scala를 이용한 개발 경험 전형 절차 및 기타사항 전형절차: 서류전형... using Python, Java or Scala 5+ years..."
https://kr.indeed.com/viewjob?jk=4905d9f2b47e6464,서버 개발자,유명메신저회사 서울 강남구,서버 개발자,,"위해 노력하시는 분 [ 우대사항 ] - 확장성 있는 서버 아키텍처에 대한 이해 - Java, Python, Scala 를 이용한 개발 경험 - 오픈소스 활동 경험 - 채팅, RPC, WebRTC에 대한 경험 - AWS 사용..."
https://kr.indeed.com/viewjob?jk=92b514ec08347efd,NC백화점 청주점 베이직하우스 점장 모집,청주 흥덕구,NC백화점 청주점 베이직하우스 점장 모집,,"슈퍼피쳐링 슈페르가,SUPERGA 스와로브스키,Swarovski 스위트숲,SweetSOUP 스칼라, scala 스코노,skonokorea 스콜피오,scorpio 스킬스,SKLZ 스타런 스타카토,STACCATO 스텔라매카트니..."
https://kr.indeed.com/viewjob?jk=256e680732c5296c,"[서버, backend 개발]",에이치알 코리아 대한민국,"[서버, backend 개발]",,회사 * 담당업무: - 모바일 결제 시스템 개발 - 모바일 서비스 플랫폼 개발 * 자격요건 - Java 또는 Scala 개발 경력 3년~8년 - Play/Spring/Akka 등 프레임워크 활용 능력 - MySQL 기반의...
https://kr.indeed.com/viewjob?jk=a72ab5e8773b9ad8,빅데이터 개발(3년이상 경력),에이치알 코리아 서울,빅데이터 개발(3년이상 경력),,계열사 업무내용 - 실시간 빅데이터 솔루션 개발 - 관련상품 추천 개발 지원자격 - JAVA/Python/ Scala 등 활용한 데이터분석/설계/개발 역량 - DB 설계/개발 역량 - 빅데이터(Hadoop Eco) 기반 DW...
https://kr.indeed.com/viewjob?jk=dbe0f6f7da20d201,"Principal, Back-end Engineer (Seller Por...",Coupang 3.1 서울,"Principal, Back-end Engineer (Seller Por...",,one or more programming language... Java/Python/ Scala Understanding of architectural principles and design patterns...
https://kr.indeed.com/viewjob?jk=9b09565fe78ef392,DX혁신부문 Tech Lab Senior Machine Learning...,이투스교육 서울 강남구,DX혁신부문 Tech Lab Senior Machine Learning...,,"반적인 백엔드 시스템 설계 및 개발 - ML/AI 시스템 아키텍쳐 설계 경험 - Python, scala, R 등 ML 및 통계 관련 언어 사용 경험 - 머신러닝 프레임워크 경험자 (TensorFlow, Caffe..."
https://kr.indeed.com/viewjob?jk=c0c4e2184e3885c0,대기업 검색엔진 개발 (대리과장급),차량IT 전문 기업 (대기업) 서울,대기업 검색엔진 개발 (대리과장급),,"5년이상 ~ 10년이하 - 정보검색에 대한 경험 보유 [기술스택] - OS : linux - 언어: java, scala, python, c++ 중 하나 이상의 언어 능숙자 - 프레임워크: spring boot - tool..."
https://kr.indeed.com/viewjob?jk=9681ee519a4f870e,게임밸런스 (게임 시뮬레이터),Success Korea 성남 분당구,게임밸런스 (게임 시뮬레이터),,자격요건] -프로그램 개발 경력 3년 이상이신 분 (언어 불문) - Scala 혹은 Python 등 새로운 언어의 학습 의지가 있으신 분 -숫자에 대한... 3년 이상이신 분 (언어 불문) - Scala 혹은 Python 등 새로운...
https://kr.indeed.com/viewjob?jk=3da2537c07ea7706,Platform server 개발자,Success Korea 성남 분당구,Platform server 개발자,,"서비스 및 플랫폼 아키텍처 설계 및 구현 [자격요건] -Java / scala (이외 C++, Go, Python 등)를 이용한 서버 개발 경력 3... 자격요건 -Java / scala (이외 C++, Go, Python 등..."
https://kr.indeed.com/viewjob?jk=74c4f418a78c820f,데이터 전문가,Success Korea 서울 삼성동,데이터 전문가,,"및 분석 경험 - 프로그래밍 언어 중 2가지 이상 능숙하게 사용(R, Scala, Python, Java) - 컴퓨터 사이언스 또는 통계 관련 박사학... 중 2가지 이상 능숙하게 사용(R, Scala, Python, Java..."
https://kr.indeed.com/viewjob?jk=18d4b759113240ca,개인화 추천서비스 개발,Success Korea 서울 삼성동,개인화 추천서비스 개발,,"개발 경험 - 다년간의 SQL 활용 경험 - Java 및 Python, Scala 프로그래밍 경험 - 컴퓨터 사이언스 또는 통계 관련 석/박사학위자... 경험 - Java 및 Python, Scala 프로그래밍 경험 - 컴퓨터..."
https://kr.indeed.com/viewjob?jk=417d3e24bac85b14,Analytics Engineer,Success Korea 서울 삼성동,Analytics Engineer,,"및 분석 경험 - 프로그래밍 언어 중 2가지 이상 능숙하게 사용(R, Scala, Python, Java) - Deep Learning 알고리즘 개발... 중 2가지 이상 능숙하게 사용(R, Scala, Python, Java..."
https://kr.indeed.com/viewjob?jk=8b43290c761c18b8,C++ Developer for SAP HANA Cloud Databas...,SAP 4.3 서울,C++ Developer for SAP HANA Cloud Databas...,,"Data Hadoop core service (HDFS, Hive, Zookeeper, Yarn, …) Scala, Spark, and akka framework Cloudera, Hortonworks, MapR Stream..."
https://kr.indeed.com/viewjob?jk=7d85150a375cfacf,[Search] BigData and AI Platform S/W엔지니어...,네이버 대한민국,[Search] BigData and AI Platform S/W엔지니어...,,1년 이상의 경력) - 리눅스 환경에서의 개발 경험 - 우수한 문제 분석 및 해결 능력 [우대요건] - Scala / Go / Java Script코드 읽기 가능 - 분산 컴퓨팅 또는 고가용성 시스템 경험 - BigData...
https://kr.indeed.com/viewjob?jk=5931380bf0919d90,제2020-1회 수리 및 계산 과학 연구단 데이터사이언스그룹 연구직,기초과학연구원 대전,제2020-1회 수리 및 계산 과학 연구단 데이터사이언스그룹 연구직,,컨퍼런스 혹은 국제저널 논문 게재자 · 분석언어와 도구를 하나 이상 능숙하게 다룰 수 있는 자(Python/R/ Scala/Scikit-learn/Spark/TensorFlow/PyTorch) · 로그 수준의 데이터를 가공하여...
https://kr.indeed.com/viewjob?jk=fe383fbe18dc32e1,[Search] [Vision] Computer Vision Resear...,네이버 대한민국,[Search] [Vision] Computer Vision Resear...,,"동영상 검색 , 비주얼 커머스 서비스 고도화에 기여 [자격요건] · Python, C++, Golang, Scala 등의 백엔드 개발 언어를 1 개 이상 자유롭게 활용 가능한 분 · Hadoop, Spark 등을 활용하여..."
https://kr.indeed.com/viewjob?jk=1937ebb0ea172f08,데이터 엔지니어,리디 서울특별시,데이터 엔지니어,,"구축 및 운영 경험 GA, Tableau 등 외부 분석/시각화 도구에 대한 지식 Python, Java, Scala 중 하나 이상을 이용한 개발 경험 [지원 시 유의 사항] 이름, E-mail, 연락 가능한 연락처는 필수..."
https://kr.indeed.com/viewjob?jk=ff52e5f9625f8f34,Machine Learning Engineer (LINE AI Servi...,LINE Plus corporation 성남 서현역,Machine Learning Engineer (LINE AI Servi...,,"Hadoop MR, Hive, Spark 등 대용량 처리 프레임워크 개발/사용 경험 - Python, Scala, SQL 등의 프로그래밍 언어를 사용할 수 있는 자 - 해외 출장/근무에 결격 사유가 없는 자 [우대사항..."
https://kr.indeed.com/viewjob?jk=a358a39da5dfc360,[NAVERxLINE] Global Ad Data Engineer/AI...,네이버 대한민국,[NAVERxLINE] Global Ad Data Engineer/AI...,,"Reliablity Engineering [자격요건 ] - Java, Scala, Python 등의 언어를 활용한 소프트웨어 개발 역량 - 리눅스... 분 - Python, Java, Scala 중 1개 이상의 언어를 활용한..."
https://kr.indeed.com/viewjob?jk=b35da47f5e84c9b4,콘텐츠서비스개발팀 - 데이터분석가,Nexon 성남 분당구,콘텐츠서비스개발팀 - 데이터분석가,,"및 커뮤니케이션 능력 - 새로운 기술 습득에 능동적이고 거부감이 없는 분 우대사항 - Python , Scala 을 이용한 데이터분석 능력 - SQL 기본 활용 능력 - 통계 및 분석에 대한 이론 지식 - 시각화..."
